File,Line,Begin Offset,End Offset,Type
documents.txt,0,0,9,DEVICE
documents.txt,1,0,7,DEVICE
documents.txt,2,0,7,DEVICE
documents.txt,3,0,7,DEVICE
documents.txt,4,0,11,DEVICE
documents.txt,6,4,15,DEVICE
documents.txt,7,0,11,DEVICE
documents.txt,8,0,11,DEVICE
documents.txt,9,0,9,DEVICE
documents.txt,10,0,9,DEVICE
documents.txt,11,0,9,DEVICE
documents.txt,13,0,11,DEVICE
documents.txt,14,0,7,DEVICE
documents.txt,15,0,7,DEVICE
documents.txt,16,0,11,DEVICE
documents.txt,17,12,21,DEVICE
documents.txt,19,0,7,DEVICE
documents.txt,21,22,31,DEVICE
documents.txt,22,0,11,DEVICE
documents.txt,23,0,7,DEVICE
documents.txt,26,0,7,DEVICE
documents.txt,34,0,11,DEVICE
documents.txt,36,0,9,DEVICE
documents.txt,41,0,9,DEVICE
documents.txt,42,9,18,DEVICE
documents.txt,45,0,10,DEVICE
documents.txt,49,0,9,DEVICE
documents.txt,52,9,20,DEVICE
documents.txt,53,0,11,DEVICE
documents.txt,54,0,10,DEVICE
documents.txt,55,6,15,DEVICE
documents.txt,56,17,26,DEVICE
documents.txt,57,27,34,DEVICE
documents.txt,58,0,7,DEVICE
documents.txt,59,10,18,DEVICE
documents.txt,60,0,7,DEVICE
documents.txt,61,0,7,DEVICE
documents.txt,64,0,9,DEVICE
documents.txt,65,0,7,DEVICE
documents.txt,66,0,11,DEVICE
documents.txt,67,0,9,DEVICE
documents.txt,68,0,11,DEVICE
documents.txt,69,0,7,DEVICE
documents.txt,71,0,9,DEVICE
documents.txt,72,0,11,DEVICE
documents.txt,73,0,9,DEVICE
documents.txt,74,0,9,DEVICE
documents.txt,76,0,11,DEVICE
documents.txt,78,0,9,DEVICE
documents.txt,79,0,11,DEVICE
documents.txt,80,0,7,DEVICE
documents.txt,81,0,7,DEVICE
documents.txt,82,0,9,DEVICE
documents.txt,84,4,15,DEVICE
documents.txt,86,0,11,DEVICE
documents.txt,87,0,11,DEVICE
documents.txt,93,0,11,DEVICE
documents.txt,94,6,17,DEVICE
documents.txt,96,0,11,DEVICE
documents.txt,98,0,7,DEVICE
documents.txt,102,0,7,DEVICE
documents.txt,111,14,23,DEVICE
documents.txt,114,0,9,DEVICE
documents.txt,116,18,28,DEVICE
documents.txt,118,0,7,DEVICE
documents.txt,129,5,12,DEVICE
documents.txt,130,0,10,DEVICE
documents.txt,146,9,18,DEVICE
documents.txt,149,0,13,DEVICE
documents.txt,150,0,10,DEVICE
documents.txt,152,0,7,DEVICE
documents.txt,153,13,23,DEVICE
documents.txt,154,0,11,DEVICE
documents.txt,155,0,7,DEVICE
documents.txt,157,0,9,DEVICE
documents.txt,158,0,11,DEVICE
documents.txt,159,0,10,DEVICE
documents.txt,161,0,11,DEVICE
documents.txt,162,19,27,DEVICE
documents.txt,163,0,11,DEVICE
documents.txt,164,0,10,DEVICE
documents.txt,165,0,7,DEVICE
documents.txt,166,0,8,DEVICE
documents.txt,167,0,11,DEVICE
documents.txt,169,0,7,DEVICE
documents.txt,171,0,11,DEVICE
documents.txt,172,6,13,DEVICE
documents.txt,175,0,7,DEVICE
documents.txt,176,0,9,DEVICE
documents.txt,181,10,17,DEVICE
documents.txt,182,19,27,DEVICE
documents.txt,184,0,9,DEVICE
documents.txt,188,20,27,DEVICE
documents.txt,199,0,11,DEVICE
documents.txt,202,0,11,DEVICE
documents.txt,206,0,11,DEVICE
documents.txt,210,4,13,DEVICE
documents.txt,214,4,15,DEVICE
documents.txt,224,0,7,DEVICE
documents.txt,232,7,16,DEVICE
documents.txt,233,0,12,DEVICE
documents.txt,234,0,11,DEVICE
documents.txt,236,0,12,DEVICE
documents.txt,252,0,11,DEVICE
documents.txt,266,0,11,DEVICE
documents.txt,270,0,7,DEVICE
documents.txt,271,0,9,DEVICE
documents.txt,272,0,9,DEVICE
documents.txt,273,0,7,DEVICE
documents.txt,274,0,11,DEVICE
documents.txt,275,0,9,DEVICE
documents.txt,276,0,11,DEVICE
documents.txt,278,13,22,DEVICE
documents.txt,279,0,8,DEVICE
documents.txt,281,0,9,DEVICE
documents.txt,283,0,9,DEVICE
documents.txt,284,0,7,DEVICE
documents.txt,285,0,10,DEVICE
documents.txt,288,0,11,DEVICE
documents.txt,290,0,7,DEVICE
documents.txt,291,0,11,DEVICE
documents.txt,292,0,7,DEVICE
documents.txt,294,6,15,DEVICE
documents.txt,295,4,15,DEVICE
documents.txt,296,0,7,DEVICE
documents.txt,298,4,12,DEVICE
documents.txt,299,0,9,DEVICE
documents.txt,300,0,11,DEVICE
documents.txt,301,0,8,DEVICE
documents.txt,303,0,11,DEVICE
documents.txt,304,0,9,DEVICE
documents.txt,305,0,8,DEVICE
documents.txt,306,0,10,DEVICE
documents.txt,308,0,8,DEVICE
documents.txt,310,0,11,DEVICE
documents.txt,311,0,11,DEVICE
documents.txt,312,14,21,DEVICE
documents.txt,313,0,11,DEVICE
documents.txt,314,0,11,DEVICE
documents.txt,315,0,7,DEVICE
documents.txt,317,0,11,DEVICE
documents.txt,318,4,15,DEVICE
documents.txt,319,0,11,DEVICE
documents.txt,320,0,11,DEVICE
documents.txt,321,0,11,DEVICE
documents.txt,322,0,10,DEVICE
documents.txt,323,0,11,DEVICE
documents.txt,324,0,7,DEVICE
documents.txt,326,0,11,DEVICE
documents.txt,330,0,11,DEVICE
documents.txt,331,0,7,DEVICE
documents.txt,332,0,9,DEVICE
documents.txt,336,0,11,DEVICE
documents.txt,337,5,12,DEVICE
documents.txt,338,0,11,DEVICE
documents.txt,339,8,17,DEVICE
documents.txt,341,0,11,DEVICE
documents.txt,342,0,11,DEVICE
documents.txt,343,0,7,DEVICE
documents.txt,344,0,8,DEVICE
documents.txt,346,0,7,DEVICE
documents.txt,347,0,11,DEVICE
documents.txt,348,0,7,DEVICE
documents.txt,349,0,11,DEVICE
documents.txt,350,6,13,DEVICE
documents.txt,351,12,23,DEVICE
documents.txt,353,0,10,DEVICE
documents.txt,354,0,7,DEVICE
documents.txt,356,0,7,DEVICE
documents.txt,360,0,7,DEVICE
documents.txt,376,0,7,DEVICE
documents.txt,383,18,27,DEVICE
documents.txt,397,0,7,DEVICE
documents.txt,398,0,11,DEVICE
documents.txt,400,0,7,DEVICE
documents.txt,401,0,11,DEVICE
documents.txt,402,78,89,DEVICE
documents.txt,404,6,17,DEVICE
documents.txt,405,4,15,DEVICE
documents.txt,406,0,11,DEVICE
documents.txt,407,8,15,DEVICE
documents.txt,408,0,11,DEVICE
documents.txt,409,0,8,DEVICE
documents.txt,410,0,11,DEVICE
documents.txt,411,0,7,DEVICE
documents.txt,419,27,36,DEVICE
documents.txt,420,0,9,DEVICE
documents.txt,421,0,9,DEVICE
documents.txt,430,0,7,DEVICE
documents.txt,434,0,9,DEVICE
documents.txt,435,0,9,DEVICE
documents.txt,437,0,9,DEVICE
