,model,comment,sentiment,sex
0,Realme 8,realme 8 die selfie den keu,1,0.0
1,Pixel 4,Pixel 4 Supports dual SIM cards from different carriers,1,0.0
2,iPhone 12,face id is not perfect in iphone 12,0,0.0
3,Poco x3,keu amake ektu poco x3 er features gula bolen,1,1.0
4,Mi Note 10,redmi note 10 6/128 find palm komer sombabona aca ? 1mas er modda . ?,1,1.0
5,Pixel 4,Pixel 4 hate nile onk classy lage,1,1.0
6,Score M,Exchange kora jane realme 8 oppo exchange score mi 11 lite Nita cacci,1,1.0
7,Realme 5i,realme 5i er Proximity sensor ta valoi,1,1.0
8,Pixel 4,950 MHz gpu ase Pixel 4 e,1,1.0
9,Pixel 4,quad camera ase Pixel 4 e,1,1.0
10,Pixel 4,"Pixel 4 1080p, 30fps video support kore",1,1.0
11,Realme 5i,sobchey beshi positive reaview deklam realme 5i er,1,1.0
12,Redmi 9,rasel redmi 9 dao,1,1.0
13,Poco x3,poco x3 er reiew sbcheye valo deklam,1,0.0
14,Redmi 9,redmi 9 er mp4 joss,1,1.0
15,Realme X2,realme x2 er battery review den keu,1,0.0
16,POCO X3,poco x3 baje phone,0,1.0
17,Mate 30,Vaiya mate 30 oppo 5g ta ku ache .. ?,1,0.0
18,OnePlus 8,tk jomacchi oneplus 8 kinbo,1,1.0
19,Redmi 9,amar kase redmi 9 best lagse,1,0.0
20,Redmi 9,redmi 9 lagbe cause etar dam reasonable,1,0.0
21,POCO X3,"poco x3 oppo 8/128 , 26k vibe vibe ?",1,0.0
22,Redmi 9,keu ektu bolen redmi 9 4g support kore ki na,1,1.0
23,Redmi 9,amnar kase redmi 9 valoi lagse,1,1.0
24,Realme C11,realme c11 price ta sotik warp set ki originall,1,0.0
25,Poco x3,ami poco x3 use krsi emn comfortable phone r nai,1,0.0
26,Pixel 4,Pixel 4 e ki ki sensor ase,1,1.0
27,Poco x3,poco x3 er durability besh valo,1,1.0
28,Realme 5i,realme 5i lagbe,1,1.0
29,iPhone 12,eye-popping hues nai iphone 12 e,0,0.0
30,Realme 5i,Sony IMX471 Sensor asae realme 5i er cameray,1,0.0
31,Pixel 4,total 3 ta card slot available ase Pixel 4 e,1,0.0
32,OnePlus 8,5V/6A Charging Adapter dey oneplus 8 er sathe,1,1.0
33,Redmi 9,valo maner agps ase redmi 9 e,1,0.0
34,POCO X3,capabazi phone rpoco x3,0,1.0
35,POCO X3,poco x3,1,0.0
36,Realme 8,realme 8 er mto eto baje camera dekhi nai,0,0.0
37,Redmi 9,redmi 9 e selfei cameray Portrait mode ase,1,0.0
38,Realme 8,vai realme 8 taratari stock koren,1,0.0
39,Realme 5i,5V6A Charge Adapter dey realme 5i er sathe,1,0.0
40,Pixel 4,kyta port ase Pixel 4 e,1,0.0
41,iPhone 12,iPhone 12 screen valo,1,0.0
42,Realme 8,realme 8 poor quality features,0,0.0
43,Pixel 4,valo lens ase Pixel 4 e,1,0.0
44,iPhone 11,The screen notch hasn't been trimmed at all in iphone 11,0,1.0
45,Mi Note 10,redmi note 10 oppo ( international global ) ta vibe ki ? ? ?,1,1.0
46,iPhone 11,face id is not perfect in iphone 11,0,1.0
47,POCO X3,poco x3 onek lag kore,0,1.0
48,Pixel 4,rasel er baccha ja ekhn theke Pixel 4 valo,1,1.0
49,Redmi K40,redmi k40 8-128 variant available ?,1,1.0
50,OnePlus 8,oneplus 8 kinte chay sbai,1,0.0
51,iPhone 11,Apple isn't offering any color calibration options with the iPhone 11,0,0.0
52,Redmi 9,4g use krar jnne redmi 9 best dual 4g ase,1,1.0
53,Realme 8,sobchey valo phone hocche realme 8,1,0.0
54,POCO X3,poco x3 global nokia indian ?,1,0.0
55,Pixel 4,Pixel 4 e joss ekta color ase oceam green,1,1.0
