,coment,date,weight
0,10 pro 64MP/108MP??,4d,6 Replies
1,Poco X3 pro official ki international??,4d,1 Reply
2,"redmi 10 pro max, sathe kono gift ache?",4d,1 Reply
3,Poco x3 Indian version ta ki ase... ??,3d,2 Replies
4,Note 10 pro 8/128 gb available nai?,4d,2 Replies
5,Uradhura offer chai,4d,1 Reply
6,Vai note 10 lite available...??,3d,1 Reply
7,poco m2 pro 6/128 available?,4d,1 Reply
8,Note 10 6/128 international hobe ki??,4d,1 Reply
9,Oneplus 8 dual sim nai?,4d,1 Reply
10,K40 price,3d,1 Reply
11,Redmi K40 kobe asbe?,4d,1 Reply
12,Samsung A 71 er প্রাইস কি কমেছে?নাকি এইটা অফার?,4d,2 Replies
13,Note 10 pro max cn hobe?,3d,1 Reply
14,Poco f3 ni?,13h,
15,Ata ki made by India.....,13h,
16,Note 10 4/64,4d,2 Replies
17,waiting for,1w,1 Reply
18,5G version?,1w,1 Reply
19,Poco x 3 pro int. Global available? Price?,1w,1 Reply
20,Official naki unofficial asbe....,1w,2 Replies
21,R u bringing 4g or 5g?,1w,1 Reply
22,Radmi note 9 pro max prise koto..,1w,1 Reply
23,Price??,1w,1 Reply
24,When come mi 11 and price,1w,1 Reply
25,4G or 5G ? 5G hole amar ekta lagbei lagbe,1w,3 Replies
26,poco x3 ind (6/128gb) unofficial available??,1w,1 Reply
27,"২৯হাজার হইলে ওভার প্রাইস, ২৫ এর মধ্যে হইলে ভালো হইতো",1w,2 Replies
28,,1w,1 Reply
29,Price 25k we niche house neya jai..,1w,1 Reply
30,Vai Kotodin wait kora lagbo?,1w,1 Reply
31,5 g nki,1w,1 Reply
32,Price,1w,2 Replies
33,Uradhura offer chai kichu phn ar upora,1w,1 Reply
34,5G ta anen please proyojone pre order dibo,1w,1 Reply
35,Note 10 s কবে আসবে?,1w,1 Reply
36,5g Yellow colour আসবে কি...??,1w,1 Reply
37,price koto,1w,4 Replies
38,4g naki 5g?,1w,4 Replies
39,tura 2 jone mile caile amk aita gift korte paris..ak bar ar jonne ohh nisad korbo na......,1w,1 Reply
40,৫ জি টা পাওয়া যাবেকি |,1w,1 Reply
41,প্রাইজটা আপডেট জানাইয়েন ভাই,1w,7 Replies
42,k40 kbe asbe?,1w,1 Reply
43,Price,1w,2 Replies
44,আহা ফোন,1w,2 Replies
45,,1w,
46,Yellow colour chi,1w,
47,Mi 11 lite 5g unofficial available?,1w,
48,একবছর আগে থেকেই আসতাছে,1w,
49,F,4d,
50,Price?,1w,
51,,1w,1 Reply
52,,5h,
53,Mi 11 pro??,6d,2 Replies
54,Hm,6d,
55,Price koto hobe?,1w,1 Reply
56,,6d,
57,Poco M2 /Redmi Note 9 inter ache?,1w,3 Replies
58,Note 9 pro max 6/64.,1w,1 Reply
59,Mi 11 lite 6/64 price koto,1w,1 Reply
60,Apple product price?,1w,1 Reply
61,EMI facility?,1w,1 Reply
62,konta niba?,1w,2 Replies
63,Poco m3 6/128 available achey??,1w,1 Reply
64,M2pro Or Realme 8,1w,1 Reply
65,Poco x3 pro 6/128 =24500 ata ki official na ki unofficial,1w,1 Reply
66,Poco f3 dam ki 31..32...as ba,1w,1 Reply
67,,1w,1 Reply
68,One plus n100 available,1w,1 Reply
69,,1w,1 Reply
70,Dekhtaros...kunda kinbe,1w,2 Replies
71,One Plus 8t (12/256) Silver colour available ache?,1w,1 Reply
72,poco x3 pro (8/128) available ache,1w,1 Reply
73,Redmi note 10 ki official-?,1w,1 Reply
74,k40 ace,1w,1 Reply
75,Redmi not 10 pro mex 6/128 gb 108 mp official koto?,1w,2 Replies
76,Redmi 9 power  কত,1w,1 Reply
77,কুরিয়ার করা যাবে??,1w,3 Replies
78,K40 available?,1w,1 Reply
79,redmi note 10 (4/64) er official price ki?,1w,1 Reply
80,K40,1w,1 Reply
81,Realme c3 4/64 hobe?,1w,3 Replies
82,Samsung er kisu offers den,1w,1 Reply
