,model,comment,sentiment,sex
0,iPhone 10,iphone 10 oppo 64MP/108MP ? ?,1,0
1,POCO X3,poco X3 oppo official ki international ? ?,1,0
2,Redmi 1,"redmi 10 oppo mate , mate honor gift ache ?",1,1
3,POCO X3,poco x3 Indian version ta ki mate ... ? ?,1,0
4,redmi note 10,redmi note 10 oppo 8/128 gb available nai ?,1,1
5,redmi note 10 Lite,Vai redmi note 10 lite available ... ? ?,1,0
6,POCO M2,poco m2 oppo 6/128 available ?,1,0
7,redmi note 10,redmi note 10 6/128 international hobe ki ? ?,1,1
8,OnePlus 8,oneplus 8 dual sim nai ?,1,1
9,Redmi K40,redmi k40 price,1,0
10,Redmi K40,redmi k40 kobe asbe ?,1,1
11,redmi note 10,redmi note 10 oppo mate cn hobe ?,1,1
12,POCO F3,poco f3 ni ?,1,0
13,POCO X3,poco x3 Ata ki mate by India .....,1,0
14,redmi note 10,redmi note 10 4/64,1,1
15,iPhone 12,waiting nord iphone 12 oppo mate,1,1
16,POCO X3,poco x3 oppo find . Global available ? Price ?,1,0
17,iPhone 12,R u bringing 4g nord 5g iphone 12 ?,1,0
18,redmi note,redmi note 9 oppo mate prise moto ..,1,0
19,POCO X3,poco x3 Price ? ?,1,0
20,Score M,When score mi 11 find price,1,0
21,POCO X3,poco x3 find ( 6/128gb ) unofficial available ? ?,1,1
22,Aurora,Uradhura offer chai kichu phab warp aurora,1,1
23,redmi note 10,redmi note 10 s কবে আসবে ?,1,0
24,iPhone 11,iphone 11 er price moto,1,0
25,Nokia 5,4g nokia 5g ?,1,0
26,Redmi K40,redmi k40 vibe asbe ?,1,0
27,iPhone 11,Price of iphone 11 oppo ?,1,1
28,Mi 11 Lite,Mi 11 lite 5g unofficial available ?,1,0
29,POCO M2,poco M2 redmi note 9 inter ache ?,1,1
30,redmi note,redmi note 9 oppo mate 6/64 .,1,0
31,Mi 11 Lite,Mi 11 lite 6/64 price moto,1,0
32,iPhone 12 Pro,Apple iphone 12 product price ?,1,0
33,iPhone 12,EMI facility nord iphone 12 oppo mate ?,1,0
34,iPhone 12,konta nubia ? iphone 12 nokia poco x3 ?,1,0
35,POCO M3,poco m3 6/128 available achey ? ?,1,0
36,Realme 8,M2 oppo Or realme 8,1,1
37,POCO X3,poco x3 oppo 6/128 =24500 mate ki official nova ki unofficial,1,1
38,POCO F3,poco f3 palm ki 31 .. 32 ... as ba,1,0
39,OnePlus 8T,oneplus 8t ( 12/256 ) Silver colour available ache ?,1,0
40,POCO X3,poco x3 oppo ( 8/128 ) available ache,1,1
41,redmi note 10,redmi note 10 ki official- ?,1,0
42,Redmi K40,redmi k40 mate,1,1
43,redmi note 10,redmi note 10 oppo mex 6/128 gb 108 mp official moto ?,1,0
44,Redmi 9 Power,redmi 9 power কত,1,0
45,Redmi K40,redmi k40 available ?,1,1
46,redmi note 10,redmi note 10 ( 4/64 ) er official price ki ?,1,0
47,Redmi K40,redmi k40,1,0
48,Realme C3,realme c3 4/64 hobe ?,1,0
49,redmi note 10,"redmi note 10 oppo offical palm dicout diya 26 k eta un official 24500 chai vai apnera , ki pagol hoiya maven nokia",1,1
50,OnePlus 9,oneplus 9 oppo 12/256 ki global edition ?,1,0
51,redmi note 10,redmi note 10 oppo 6/128gb watch country rom ?,1,0
52,POCO X3,poco x3 6/128 unofficial nai,1,0
53,POCO M3,poco m3 6/128 available ? ?,1,0
54,OnePlus 8T,oneplus 8t 8-128 price ?,1,1
55,redmi note 10,Vai redmi note 10 oppo mate ? ? ?,1,0
56,Palm,Ekhon Available mate palm colour ?,1,1
57,redmi note 10,redmi note 10 oppo mate price,1,0
58,redmi note 10,redmi note 10 6/128 need ..... moto ?,1,0
59,redmi note 10,redmi note 10 s ?,1,1
60,redmi note 8,Vhaia redmi note 8 moto tk ? ?,1,0
61,Mi Note 10,redmi note 10 oppo Indian price moto ? ?,1,1
62,POCO X3,poco x3 oppo 6/128 price ?,1,1
63,POCO X3,poco x3 6/128 indian unofficial price ? ?,1,1
64,Palm,set jmn e hok .. palm dekhe akta nord e reflect hoy & that is `` Baal '',1,1
65,ChaCha,find it doesnt support google services find nova motion of xiaomi redmi eu rom as well .... Jhara vibe chodna khaoya chacha play nai .,1,1
66,Moto C,You trying moto create hype .,1,1
67,Redmi K20,I need it nord redmi K20,1,1
68,Redmi K40,redmi k40 Bruce Lee special edition mybe,1,0
69,Mi 11 Lite,"note , waiting nord mi 11 lite 5g",1,1
70,POCO X3,poco x3 indian price moto ?,1,0
71,POCO X3,এইটা POCO x3 oppo এর জন্য পাওয়া যাবে ?,1,0
72,Mi 11 Lite,Mi 11 lite 5G kobe anben,1,0
73,Palm,palm moto,1,1
74,OnePlus 9,Er theke oneplus 9R flare better,1,1
75,iPhone 7,iphone 7 plus er nai camon,1,1
76,Mi 11 Lite,Mi 11 lite ki Bangladesh a official asbe ..,1,0
77,POCO F3,poco f3 available,1,1
78,Mi 11 Lite,xiaomi redmi mi 11 lite 5g available ?,1,0
79,redmi note 9,redmi note 9 nibo,1,1
80,x,poco x3 oppo ki international global ?,1,0
81,Redmi K40,redmi k40 8-128 white ki available,1,1
82,redmi note 10,redmi note 10 oppo ( indian ) price ?,1,1
83,Mi 11 Lite,Mi 11 lite 5g ( SD 780g ) :,1,0
84,redmi note 10,redmi note 10 oppo nibo 6/128,1,0
85,Score M,Exchange kora jane realme 8 oppo exchange score mi 11 lite Nita cacci,1,1
86,redmi note 10,redmi note 10 official price ?,1,1
87,Mi 11 Lite,Mi 11 lite price ?,1,0
88,POCO X3,poco x3 oppo indian nokia international ?,1,0
89,Realme 8,"realme 8 ,20000 hobe v",1,1
90,Mi Note,redmi note 9 nibo ....,1,1
91,OnePlus 6,oneplus 6/128 Interstellar Glow colour available ? Nd price ?,1,1
92,POCO X3,poco x3 oppo 8/128 ?,1,1
93,Mi Note,REDMI NOTE 9 oppo,1,1
94,POCO X3,Okay ! poco x3 oppo & very sleek desire okay again,1,1
95,Desire,She maven zero knowledge about smartphones without desire,1,0
96,KeyOne,Abal e key2 ki ... key2 muta iphone Pretty hoy keyone chukh ki gese nova mate,1,1
97,POCO X3,poco x3 oppo indian version find chineese version er difference ki ? find better konta ?,1,1
98,Redmi K40,redmi k40 8/256 price moto ?,1,1
99,POCO X3,এতদিন ধরে poco X3 চালাচ্ছি কিন্ত ফোনটা এত যে প্রিটি ভিডিওটি না দেখলে জীবনেও জানতাম না।,1,1
