,model,comment,sentiment,sex
1,PRO 6,Need Redmi Note 10 Pro 6/128,,
2,Redmi 1,Redmi 10x 4g available?,,
3,3 Pro,Poco x3 pro er dam koto,,
4,iPhone 7 Plus,iphone 7 plus er bh koto?,,
5,10 Plus,samsung s10 plus with box 34000??,,
6,iPhone 11,iPhone 11 64 gb,,
7,iPhone 7 Plus,iphone 7 plus BH?,,
8,Honor Play,Honor play / huawei honor play player edition ta lagto,,
9,2 Pro,12 pro max 256 gb,,
10,iPhone 7 Plus,IPhone 7 plus ar battery health koto?,,
11,iPhone 11,iphone 11 pro max..avaiable nai?,,
12,iPhone 11,Iphone 11 with box er mane ki box + charger + headphone?,,
13,Note 8,Redmi note 8 128 gb koto...?,,
14,iPhone 12,iPhone 12- 128gb tar battery health koto,,
15,Narzo,Need realme narzo 20,,
16,Redmi Note 7,Redmi note 7 pavo,,
17,iPhone 7 Plus,Iphone 7 plus Offcial nake,,
18,iPhone 7 Plus,iphone 7 plus er bettary health koto,,
19,Note 9,Redmi Note 9s available?,,
20,Huawei P30,huawei P30 pro 40k te,,
21,7 Pro,Realme 7 pro is up for sale,,
22,iPhone 8,iphone 8 plus need,,
23,10 Pro,Xchange my mi 9t pro with note 10 pro max.... Full box with cash memo...,,
24,Realme 5,Realme 5 pro price ki fxd,,
25,PRO 6,X2 pro 6/64 box aca,,
26,Realme 2,Realme 2 pro ki full brand new?,,
27,2 Pro,Realme x2 pro red brick edition er condition kmn?,,
28,2 Pro,Realme X2 pro,,
29,Realme X,Bhai realme X2pro ta ki ache? 8/128...?,,
30,2 Pro,realme x2 pro gray colour hobe.?,,
31,7 Pro,Realme 7 Pro available???,,
32,Realme 6,Realme 6i (indian) available?,,
33,Realme C1,Realme c11 price ta sotik ar set ki originall,,
34,Realme 2,Realme 25s ache?,,
35,8 Pro,Realme 8 pro...ki color ?,,
36,Realme 6,Realme 6 available????,,
37,Realme X,vai realme X,,
38,Realme 2,R sylhet er shoeroom ee ki pabo realme 2 pro,,
39,Realme GT,Realme GT Nai ????,,
40,Realme C1,Realme c17 ta lagbe,,
41,Realme C1,Realme c17 last price koto r booking korte koto dite hobe...,,
42,8 Pro,Realme 8 pro আছে?,,
43,5 Pro,Vaia relme 5 pro lagbe amar..?,,
44,7 Pro,realmi 7 pro...intact paoya jabe???,,
45,8 Pro,Realme 8 pro kotodin warrenty ase?,,
