,model,comment
1,10 Pro,10 pro 64MP/108MP??
2,POCO X3 Pro,Poco X3 pro official ki international??
3,Mi 1,"redmi 10 pro max, sathe kono gift ache?"
4,POCO X3,Poco x3 Indian version ta ki ase... ??
5,10 Pro,Note 10 pro 8/128 gb available nai?
6,POCO M2,poco m2 pro 6/128 available?
7,OnePlus 8,Oneplus 8 dual sim nai?
8,10 Pro,Note 10 pro max cn hobe?
9,POCO F3,Poco f3 ni?
10,3 Pro,Poco x 3 pro int. Global available? Price?
11,Mi Note,Radmi note 9 pro max prise koto..
12,Mi 11,When come mi 11 and price
13,POCO X3,poco x3 ind (6/128gb) unofficial available??
14,Mi 11,Mi 11 lite 5g unofficial available?
15,Mi 11,Mi 11 pro??
16,POCO M2,Poco M2 /Redmi Note 9 inter ache?
17,9 Pro,Note 9 pro max 6/64.
18,Mi 11,Mi 11 lite 6/64 price koto
19,POCO M3,Poco m3 6/128 available achey??
20,POCO X3 Pro,Poco x3 pro 6/128 =24500 ata ki official na ki unofficial
21,POCO F3,Poco f3 dam ki 31..32...as ba
22,POCO X3 Pro,poco x3 pro (8/128) available ache
23,Mi Note,Redmi note 10 ki official-?
24,10 Pro,Redmi not 10 pro mex 6/128 gb 108 mp official koto?
25,Redmi 9 Power,Redmi 9 power  কত
26,Mi Note,redmi note 10 (4/64) er official price ki?
27,Realme C3,Realme c3 4/64 hobe?
28,10 Pro,"note 10 pro offical dam dicout diya 26 k eta un official 24500 chai vai apnera,ki pagol hoiya gasen naki"
29,9 Pro,One + 9 pro 12/256 ki global edition?
30,10 Pro,Note 10 pro 6/128gb which country rom?
31,POCO X3,poco x3 6/128 unofficial nai
32,POCO M3,Poco m3 6/128 available??
33,OnePlus 8T,oneplus 8t 8-128 price ?
34,Mi Note,Vai redmi note 10 pro ase???
35,10 Pro,Note 10 pro max price
36,Mi Note,Vhaia redmi note 8 koto tk??
37,10 Pro,Note 10 pro Indian price koto??
38,POCO X3 Pro,Poco x3 pro 6/128 price ?
39,POCO X3,poco x3 6/128 indian unofficial price ??
40,Mi 11,"nope, waiting for mi 11 lite 5g"
41,POCO X3,Poco x3 indian price koto?
42,POCO X3 Pro,এইটা POCO x3 pro এর জন্য পাওয়া যাবে?
43,Mi 11,Mi 11 lite 5G kobe anben
44,OnePlus 9,Er theke oneplus 9R far better
45,Mi 11,Mi 11 lite ki Bangladesh a official asbe..
46,POCO F3,Poco f3 available
47,Mi 11,Xiaomi mi 11 lite 5g available?
48,Mi Note,Redmi note 9 nibo
49,POCO X3 Pro,poco x3 pro ki international global?
50,Mi Note,redmi note 10 pro(indian) price ?
51,Mi 11,Mi 11 lite 5g ( SD 780g) :
52,10 Pro,note 10 pro nibo 6/128
53,Mi 11,Exchange kora jane realme 8 pro exchange kore mi 11 lite Nita cacci
54,Mi 11,Mi 11 lite price?
55,POCO X3 Pro,poco x3 pro indian naki international?
56,Mi Note,Redmi note 9 nibo....
57,POCO X3 Pro,poco x3 pro 8/128 ?
58,Mi Note,REDMI NOTE 9 pro
59,POCO X3 Pro,Okay! Poco x3 pro & very sleek design okay again
60,POCO X3 Pro,Poco x3 pro indian version and chineese version er difference ki? and better konta?
61,POCO X3,এতদিন ধরে Poco X3 চালাচ্ছি কিন্ত ফোনটা এত যে প্রিটি ভিডিওটি না দেখলে জীবনেও জানতাম না।
62,Vivo V20,X3 pro slick hoile vivo v20 is a joke
63,POCO X3,Ei video dekhar por.Poco X3 kinar iccha chole geche
64,3 Pro,x3 pro slick?
65,Mi Note,redmi note 10 pro indian tar
66,10 Pro,Note 10 pro max price? ?
67,10 Pro,vai note 10 pro offer dilen na?
68,POCO X3 Pro,"POCO X3 Pro এর অফার থাকলে বইলেন, এইসব লুতুপুতু খেলা দেখায়েন নাহ।"
69,8 Pro,Global Oneplus 8 pro 12/256GB & 8/128 GB প্রাইজ কত ভাই...?
70,Nord,One plus Nord price??
71,Nord,Nord er version valo na
72,2 Pro,Poco f2 pro available?
73,10 Pro,OnePlus10 pro koto?
74,Mi Note,Redmi note 9 t 5G ki available hobe
75,10 Pro,Note 10 pro r offer den ekta boro soro..
92,POCO F3,poco f3 available and price?
93,OnePlus 8,Oneplus 8 ki ki color e ache?
94,OnePlus 7T,oneplus 7t price?
95,POCO X3 Pro,"Poco X3 pro international global hobena,,"
96,Mi Note,Redmi note 10 int global 4/64 available?
97,Mi Note,"Redmi note 10 pro max Int. Global official, Price???"
98,Note 9,Note 9pro 4/64 int global?
99,7 Pro,Realme 7 pro unofficial price koto....
100,7 Pro,Realme 7 pro available?
101,POCO X3 Pro,"Poco X3 pro Int. Global official, seriously?"
102,Mi 11,mi 11 lite blackcolor ase ?
103,3 Pro,International global official???x3 pro
104,Mi Note,redmi note 10 white colour ta ache ki
105,Redmi 9,Redmi 9 4/64 (Chinese) Full Intact ? নাকি দোকানে রিপলি করা?
106,Mi Note,redmi note 9 pro ta ki international global?
107,Redmi 9,"Redmi 9 Chinese 3/4 পিছ নিলে কত রাখবেন, আর 9A. আছে কিনা?"
108,OnePlus 8,Bhaia OnePlus 8 ki ki color variant ase?
109,10 Pro,Sir note 10 pro max ami nabo
110,Redmi 9,Redmi 9 4/64••••••11999/-(Chinese)
111,8 Pro,ভাই Realme 8 pro 6/128 এইটা কি আপনাদের কাছে আছে এখন। আর থাকলে দাম কতো বলবেন
112,POCO M2,Poco M2 Pro
113,10 Pro,Note 10 pro...International global ase ki??
114,7 Pro,Realme 7 pro color konta ache? And kalke ashle pawa jabe confirm?
115,Mi 11,Mi 11 lite available?
116,Note 9,note 9 indian or global
117,8 Pro,realme 8 pro 8/128 unoffical price kotho
118,9 Pro,Redmi not 9 pro ki available ace
119,Mi Note,Redmi Note 10 price ke fixed & products ke available?
120,Aria,Note 10 4/64 ta ki Global Variant naki Indian Variant??
121,POCO X3 Pro,Best price of Poco X3 pro
122,10 Pro,Note 10 pro official kobe ashbe?
123,POCO X3,poco x3 6/128 available? Or unofficial?
124,10 Pro,Note 10 pro Max.ki International global?
125,Mi Note,Redmi note 10 pro unoffisial price
126,10 Pro,note 10 pro international availabe? na thakle kobe paoa jabe?
127,Mi 11,Mi 11 lite 5g ashce?
128,10 Pro,Note 10 pro এর দাম কি প্রতিদিন ৪০০/৫০০ করে বাড়ে নাকি
129,POCO F3,Poco f3 8/256 price?
130,3 Pro,x3 pro ki international global??
131,3 Pro,X3 pro ki international?
132,10 Pro,note 10 pro chinese ta ki available?
133,POCO X3,Poco x3 6/64 asa naki
134,OnePlus 9,Oneplus 9pro price ?
135,3 Pro,x3 pro ki international?
136,3 Pro,X3 pro international ki available ache...?
137,POCO X3,Need poco x3
138,10 Pro,Note 10 pro 8/128 global ki ase
139,Galaxy A5,Samsung Galaxy A52 available hbe ki???r hole prices koto???
140,Mi 11,Mi 11 nai vai?
141,10 Pro,note 10 pro max official price?
142,10 Pro,Note 10 Pro ( International)  global version হবে??
143,POCO F3,Poco f3 pro er price?
144,X2 Pro,Realme x2 pro available?
145,POCO F3,poco f3 pro ber houar chances ache?
146,Mi Note,Redmi Note 9 ta ki available ace ?
147,POCO F3,Poco F3 limited bolte koyta stock a ase bujhacchen?
148,POCO F3,8/256 poco f3 price
149,Mi Note,8 tarikh ki redmi note 10 pro er price akoi thakbe? ar kono discount hbe kina aktu bolben plz.
150,Mi 11,Mi 11 lite koto?
151,POCO F3,Poco f3 5g global white colour hobe?
152,POCO M3,poco m3 official?
153,POCO F3,"Poco F3 8/128 Price Pls,"
154,POCO F3,Poco F3 er ki 8/128 variant asbe?
155,POCO X3,Poco x3
156,Mi Note,Redmi note 10 pro international version টা নাই ??
157,POCO X3,"Poco x3 nite chai,,,"
158,Mi Note,where adyan delivery update.. please update adyan delivery stock.. our demund redmi note 10 pro
159,Mi 11,Vai Mi 11lite 5g eta paowa jbe? Ar price ta kmn porbe? Ami nite chai.
160,Mi Note,radmi note 10pro max... global version ta ki available...?
161,Mi Note,Vai Redmi Note 10 4/64 ভ্যারিয়েন্টে অন্যরা নিচ্ছে ১৫৯৯৯/১৬০০০ আর আপনারা ১৬৬৯০
162,POCO X3,Tnx vai poco x3 peyesi intex phone !
163,10 Pro,note 10 pro max nite cassi?
164,Mi Note,Mi note 9 pro max 6/128 ??
165,Flash,আপনারা Mi 11x pro আনবেন বা k40 pro global rom flash করে দিতে পারবেন??
166,POCO F3,Poco F3 er price koto ???
167,Mi 11,Mi 11 lite ki available?
168,10 Pro,10 pro ki global naki indian?
169,10 Pro,Cash on delivery hobe..? Tahole note 10 pro max nibo?
170,POCO M2,Exchange possible with Poco m2 pro?
171,Note 8,Note 8 koto?
172,10 Pro,Note 10 pro 8/128 price koto?
173,POCO M2,poco m2 pro (6/64) available?
174,POCO X3,Poco x3 ache??
175,10 Pro,Note 10 pro ki India or international
176,Redmi 9,Redmi 9 CN er dam barlo keno? Eta to 11500/- diya bikri hoto!
177,Mi Note,Radmi note 10pro max 6/128 available..?
178,POCO M2,Poco M2 pro ta ki available
179,Mi Note,Redmi note 9 pro 4/64 available ase
180,POCO X3 Pro,Poco x3 proo 6/128 gb kih ashe nai
181,10 Pro,Note 10 pro er prosser konta vai..?732 নাকি ৬৭০?
182,Mi Note,mi note 10prokoto
183,Black Shark,Black shark 4  ki available ase?
184,Mi Note,Redmi note 10 kon variant aita?
185,Mi Note,Amr kas thaka 10tk base nesa redmi note 10
186,Mi Note,redmi note 10 (4/64 ) unofficial price koto?
187,9 Pro,"mi cc9 pro 8/128, indian koto"
188,Redmi 9,Redmi 9 cn global hoba
189,Redmi 9,Redmi 9 CN (4/64) Black 12.5k
190,Mi Note,Redmi Note 9 pro 6/128 Unofficial price koto.
191,POCO F3,Poco F3 কবে পাবো?.
192,Redmi 9,Redmi 9 cn mane ki
193,iPhone 12 Pro Max,Iphone 12 pro max 128gb bd Official phone ase? Daam koto?
194,Droid Mini,xiomi Android mini tv box price please
195,POCO M2,"Poco m2 pro available?  R price koto, unofficial?"
196,POCO X3 Pro,Poco x3 pro 8/256 global price
197,10 Pro,Note 10 Pro ki international naki Indian?
198,Mi 1,Redmi 10x er price kombe kbe? kisudin agei na 14k silo.
199,Mi Note,Redmi note 10 pro indian na global?
200,Mi Note,redmi note 10 international global ase ki???
201,Mi 1,readmi 10x price koto
202,3 Pro,Poxo X3 Pro er dam besi ken
203,10 5G,Oneplus N10 5G 6/128•••••••23500/-
204,9 Pro,Note 9 Pro 6GB 64GB price kmn..?
205,Mi Note,redmi note 10 4/64 এটা কি ইন্ডিয়ান নাকি ইন্টারন্যাশনাল?
206,Mi Note,Radmi note 10 pro 6/128 global version
207,2 Pro,Redmi m2 pro 4/64 gb ace?
208,POCO X3 Pro,Poco x3 pro er dam 30k howa drkar..
209,3 Pro,X3 pro price koto?
210,POCO X3 Pro,"poco x3 pro 8/128 , 26k kbe hbe?"
211,Mi Note,redmi note 10 pro 6/128 unofficial price kotho
212,10 Pro,Note 10 pro max টা কি আছে না কি আনবেন?
213,ZenFone 8,Asus ZenFone 8 ki er price plz?
214,POCO M2,poco m2 pro available?
215,iPhone XR,iphone xr available?
216,10 Pro,Note 10 pro 6/128 which version?
217,10 Pro,"Note 10 pro 6/128 22,500 ki indian???"
218,POCO M2,vai poco m2 pro er sathe exchange kora jabe ki?
219,10 Pro,Note 10 pro max er price koto 6/128
220,Mi Note,আমার ইমারজেন্সি Redmi note 10
221,Mi Note,Redmi note 10 pro nithe cai
222,10 Pro,Note 10 pro optimisation issue ki thik hoise?
223,Mi Note,What is the difference between redmi note 10 international global and Indian version
224,10 Pro,Note 10 pro max?
225,10 Pro,Note 10 pro max available ?
226,Mi Note,Assa kaw ki bolben jodi indian global ar redmi Note 10pro nai tahola pore agular network service off hoya jaba
227,POCO F3,poco f3 kkn available hobe?
228,10 Pro,Note 10 pro max 6/128 price
229,10 Pro,Note 10 pro 6/128 ki indian?
230,POCO X3 Pro,poco x3 pro available?
231,Mi Note,"Redmi Note 10 pro 6, 128 nite cacchi,"
232,POCO X3 Pro,Poco X3 pro unofficial ache Vai..??
233,10 Pro,Sir note 10 pro 4/64
234,Note 8,realme note 8er price koto unofficial ta??
235,Mi Note,redmi note 10(4/64 GB) price?
236,Mi Note,Redmi note 10 pro (international global)  available?
237,3 Pro,Pocp x3 pro 6/128 global version er dam koto?
238,Redmi K40 Gaming,Redmi k40 gaming  edition  asbe kobe
239,POCO F3,Poco f3pro dorkar  kobe pawa jabe??
240,10 Pro,Note10 pro max price???
241,POCO X3 Pro,Poco x3 pro int ase
242,Mi 11,mi 11 lite 4g er price 6/64
243,POCO M2,Poco m2pro ki r nai?
244,POCO M2,Poco m2 pro available or not?
245,10 Pro,Note 10 pro bronze colour available ase.
247,Mi Note,India redmi note 10 pro er camera 64 naki 108 mp? Aktu clear bolben?
248,Mi 11,mi 11 lite 6/128 price
249,Mi Note,Redmi Note 10 pro (international)  ase?
250,POCO X3 Pro,Poco x3 pro ki indian naki international ? R 8/128 ki available ?
251,POCO X3 Pro,Poco x3 pro bronze colour ta ace?
252,Mi Note,Redmi note 10 এর গ্লাস পেপার ও কাবার পাওয়া যাবে?
253,10 Pro,Note 10 pro 6/64 ache?  Thakle price??
254,10 Pro,10 pro 6/64 kokon pabo?
255,10 Pro,note 10 pro 20 jokon hoba tokon nibo.
256,10 Pro,note 10 pro max ki exchange kora jabe amar Samsung A71 er সাথে
257,10 Pro,Is the note 10 pro have that 108 mp rare camera?
258,10 Pro,Note 10 pro international
259,Mi 1,Redmi 10pro Available Ache ki?Order Korte Parbo???
260,POCO X3 Pro,Poco x3 pro phantom black ta hbe apndr kase? Shop e eshe nitam..
261,POCO X3 Pro,POCO X3 pro indian or global?
262,Mi 10i,mi 10i লাগবে।
263,POCO X3 Pro,Poco X3 pro ki indian variant...
264,Mi Note,Radmi Note 10 pro max available.....??
265,POCO X3 Pro,Poco X3 Pro Price 6 128
266,Mi Note,redmi note 10 pro max price
267,10 Pro,note 10 pro 6/128 blue colour available???
268,10 Pro,Note 10 pro international global ta lagbe
269,POCO X3 Pro,poco x3 pro indian global or international global?
270,3 Pro,"oidin apnader shop e gelam othocho x3 pro chilona, ajke 1 diner bebodhane kmne ashlo bujhlam na"
271,10 Pro,Official  Note 10 pro 6/128 price plz?
272,9 Pro,Note 9 pro er ki stock sesh
273,Mi Note,Redmi note 9
274,POCO X3 Pro,Poco x3 pro kon variant???
275,10 Pro,Note 10 pro 6/128 are price ki 20k te asba nah
276,3 Pro,X3 pro  ki ki colour available
277,POCO X3 Pro,"Jai hok poco x3 pror dam 25000 raksen.dekhe valoi laglo, but bidhi bam amar kache ace 16k, ekhn 25k kmne kori"
278,10 Pro,Note 10 pro max kom chai aro
279,POCO X3 Pro,poco x3 pro er pic tule post koren
280,Mi Note,Redmi note 10- 6/128 available for today? Please let me know fast!
281,10 Pro,N10 pro max er golden colour ta ache ki
282,Mi 9T,Mi 9T stock ase ki..r thakle dam koto ..janaben ..tnxx
283,10 Pro,Note 10 pro (international global) ta hbe ki???
284,POCO M2,Poco m2 pro 4/64  ki available?  Hole price koto?
285,Realme C2,Realme c25 .?
286,10 Pro,Note 10 Pro 6/128 eta ki international global hoi na......
287,POCO X3 Pro,Poco X3 pro international global ta 25k te den please
288,9 Pro,note 9 pro 4 128 jomuna te prise koto
289,Mi Note,Redmi note 10 asee??
290,10 Pro,Note 10 pro Max 6/128•••••26500/-(Global)
291,Redmi 9A,দুপুরে ফোন দিলাম Redmi 9A 4/64•••••9000/-  (Chinese) স্টক নাই। আবার এলো কোথা থেকে?
292,Mi Note,Redmi note 10 pro 6/128 official global version koto price??not pro max just note 10 pro
293,Mi Note,Redmi note 9 ki official phone?
294,Mi Note,"redmi note 10 tolarbage dite parben?6/128,international global,gray color"
295,POCO X3 Pro,poco x3 prooo neye nebo naki
296,10 Pro,Vai note 10 pro max name ar kono phone to Globale launched hoyni ta vai Note 10 pro max (Global) aita koi pailen???
297,Mi Note,Redmi note 10 pro এইখানে প্রাইস ঠিকি দিছেন ২৩০০০। অথচ Qcoom য়ে ২৪০০০ টাকা দাম দিয়া ওইটার ওপরে অফার দেওয়া। কি টেকনিক।
298,10 Pro,"ভাই note 10 pro এর মধ্যে কি 108 mp নাকি,?? 64mp ??"
299,Realme X2,Realme X2 global version ki available
300,10 Pro,Note 10 pro max 23000 টাকা হবে?
301,10 5G,One plus nord n10 5g ki official?
302,Mi Note,Redmi note 10 pro max Indian or International
