,Developer,Model,Release date
0,Asus,PadFone,2012/06
1,Asus,PadFone 2,2012/10
2,Asus,PadFone Infinity,2013/04
3,Asus,PadFone Infinity 2,2013/10
4,Asus,PadFone mini,2013/12
5,Asus,PadFone E,2014/01
6,Asus,PadFone Infinity Lite,2014/02
7,Asus,ZenFone 5 (2014),2014/04
8,Asus,ZenFone 4 (2014),2014/05
9,Asus,ZenFone 6 (2014),2014/05
10,Asus,PadFone S/X,2014/06
11,Asus,ZenFone 4.5 (2014),2014/07
12,Asus,ZenFone 5 (2014),2014/07
13,Asus,PadFone X mini,2014/10
14,Asus,Pegasus (X002),2014/12
15,Asus,ZenFone 5 (2015),2015/01
16,Asus,ZenFone 2,2015/03
17,Asus,ZenFone 3,2016/08
18,Asus,ZenFone 4,2017/10
19,Asus,ZenFone Max Plus M1,2017/11
20,Asus,ZenFone Max M1,2018/05
21,Asus,ZenFone Max Pro M1,2018/05
22,Asus,ZenFone 5,2018/05
23,Asus,ZenFone Live L1,2018/05
24,Asus,ZenFone Lite L1,2018/10
25,Asus,ZenFone Max M2,2018/12
26,Asus,ZenFone Max Pro M2,2018/12
27,Asus,ZenFone Max Shot,2019/03
28,Asus,ZenFone Max Plus M2,2019/03
29,Asus,ZenFone Live L2,2019/05
30,Asus,ZenFone 6,2019/05
31,Asus,ROG Phone II,2019/09
32,Asus,ROG Phone 3,2020/08
33,Asus,ZenFone 7,2020/09
34,Asus,ROG Phone 5,2021/03
35,Asus,ZenFone 8,2021/05
36,BlackBerry,Priv,2015/11
37,BlackBerry,DTEK50,2016/08
38,BlackBerry,DTEK60,2016/10
39,BlackBerry,Aurora,2017/03
40,BlackBerry,KeyOne,2017/04
41,BlackBerry,Motion,2017/12
42,BlackBerry,Key2,2018/06
43,BlackBerry,Evolve/X,2018/08
44,BlackBerry,Key2 LE,2018/10
45,Cherry Mobile,Flare S8 Deluxe,2019/07
46,Cherry Mobile,Flare S8 Pro,2019/07
47,Cherry Mobile,Flare S8 Plus,2019/07
48,Cherry Mobile,Flare S8 Lite,2019/07
49,Essential Products,Essential PH-1,2017/08
50,HTC,Dream,2008/09
51,HTC,Magic,2009/05
52,HTC,Hero,2009/07
53,HTC,Tattoo,2009/09
54,HTC,Desire,2010/02
55,HTC,Legend,2010/03
56,HTC,Droid Incredible,2010/04
57,HTC,Wildfire,2010/05
58,HTC,Aria,2010/06
59,HTC,Evo 4G,2010/06
60,HTC,Evo 4G+,2010/06
61,HTC,Desire HD,2010/10
62,HTC,Desire Z,2010/11
63,HTC,Gratia,2010/11
64,HTC,Evo Shift 4G,2011/01
65,HTC,Inspire 4G,2011/02
66,HTC,Incredible S,2011/02
67,HTC,ThunderBolt,2011/03
68,HTC,Desire S,2011/03
69,HTC,Merge,2011/04
70,HTC,Sensation,2011/05
71,HTC,Wildfire S,2011/05
72,HTC,ChaCha,2011/06
73,HTC,Salsa,2011/06
74,HTC,Evo 3D,2011/07
75,HTC,Amaze 4G,2011/10
76,HTC,Explorer,2011/10
77,HTC,Sensation XE,2011/10
78,HTC,Rhyme,2011/10
79,HTC,Raider 4G,2011/10
80,HTC,Evo Design 4G,2011/10
81,HTC,Sensation XL,2011/11
82,HTC,Rezound,2011/11
83,HTC,One S,2012/04
84,HTC,One V,2012/04
85,HTC,One X/XL,2012/05
86,HTC,Evo 4G LTE,2012/05
87,HTC,One S C2,2012/06
88,HTC,Desire C,2012/06
89,HTC,Desire V,2012/06
90,HTC,Droid Incredible 4G LTE,2012/07
91,HTC,Desire VC,2012/07
92,HTC,Desire XC,2012/07
93,HTC,One XC,2012/08
94,HTC,HTC J,2012/08
95,HTC,Desire VT,2012/08
96,HTC,Desire X,2012/10
97,HTC,One VX,2012/10
98,HTC,One X+,2012/11
99,HTC,Desire SV,2012/11
100,HTC,Desire 400,2012/12
101,HTC,One SV,2013/01
102,HTC,Butterfly,2013/01
103,HTC,One (M7),2013/03
104,HTC,First,2013/04
105,HTC,Desire L/P/Q,2013/04
106,HTC,Desire U,2013/06
107,HTC,Desire 600,2013/06
108,HTC,Desire 200,2013/07
109,HTC,Butterfly S,2013/07
110,HTC,One Mini,2013/08
111,HTC,Desire 500,2013/09
112,HTC,One Max,2013/10
113,HTC,Desire 601,2013/10
114,HTC,Desire 300,2013/12
115,HTC,Desire 601 dual sim,2013/12
116,HTC,Desire 700,2014/01
117,HTC,Desire 501,2014/02
118,HTC,Desire 816,2014/03
119,HTC,One (M8),2014/03
120,HTC,Desire 310,2014/04
121,HTC,Desire 610,2014/03
122,HTC,Desire 816 dual sim,2014/05
123,HTC,One Mini 2,2014/05
124,HTC,Desire 210,2014/06
125,HTC,Desire 616,2014/06
126,HTC,One (E8),2014/06
127,HTC,Desire 516,2014/06
128,HTC,One Remix,2014/07
129,HTC,Butterfly 2,2014/09
130,HTC,Desire 510,2014/09
131,HTC,Desire 820q,2014/10
132,HTC,Desire 612,2014/10
133,HTC,One (M8 Eye),2014/10
134,HTC,Desire 816G,2014/10
135,HTC,Desire 820,2014/11
136,HTC,Desire Eye,2014/11
137,HTC,Desire 620/G,2014/12
138,HTC,Desire 320,2015/01
139,HTC,Desire 526G+,2015/01
140,HTC,Desire 826,2015/03
141,HTC,Desire 626,2015/03
142,HTC,Desire 820s,2015/03
143,HTC,Desire 626G+,2015/04
144,HTC,One M9,2015/03
145,HTC,One E9/+,2015/05
