,model,comment,sentiment,sex
5196,Realme 8,vai realme 8 er upor ekta review video banan,1,1.0
4286,Pixel 4,amar akse Pixel 4 er battery onek valo lagse,1,0.0
1104,Redmi 9,redmi 9 er sunset purple color ta just wow,1,0.0
5148,Redmi K40,redmi k40/Redmi k40 oppo er price ki rokom note flare ?,1,0.0
1190,Poco x3,poco x3 Android 11 use kre valoi,1,0.0
2785,Pixel 4,ai face unlock ase Pixel 4 e,1,1.0
575,iPhone 12,Portrait mode with advanced bokeh and Depth Control ase iphone 12 e,1,1.0
3514,POCO F3,vai poco f3 mate ? ?,1,1.0
2474,iPhone 11,fast cahrge hoyna iphone 11 e,0,1.0
2060,Realme 8,keu realme 8 rough use korsen?,1,0.0
3388,OnePlus 8,eto baje pic quality wrost oneplus 8 er?0,1,
3954,Pixel 4,Pixel 4 naki valoi krse sunlam,1,0.0
3451,Redmi 9,ভাই redmi 9 unofficial হবে ? হলে দামটা জানাবেন প্লিজ।,1,0.0
2098,Redmi 9,face unlock valoi kaj kore redmi 9 e,1,0.0
2601,Pixel 4,IR blaster use kora hoise Pixel 4 e,1,1.0
819,Poco x3,poco x3 er batter backup er kno tulona nai,1,0.0
603,Mi Note,redmi note এটা আমার লাগবে,1,0.0
288,iPhone 11,iphone 11 e awkward file management hoy,0,0.0
4107,Galaxy A52,ocean green coor ta onek clasy galaxy a52 er,1,0.0
2446,Realme 5i,ami selfie tular jonne realme 5i nibo,1,0.0
1152,Mi Note 10,redmi note 10 4/64 Aikhan a price 16690tk,1,0.0
4554,iPhone 12,amar birthday te iphone 12 gift chai,1,1.0
2587,Pixel 4,keu Pixel 4 er review den,1,0.0
2551,Redmi 9,redmi 9 er face unlock super smooth,1,1.0
4351,Mi Note 10,Vai redmi note 10 oppo mate name warp honor iphone moto Globale launched hoyni ta vai redmi note 10 oppo mate ( Global ) aita koi pailen ? ? ?,1,1.0
3515,OnePlus 8,karo oneplus 8 lagle inbox koren,1,1.0
3995,POCO X3,fatu phone poco x3,0,0.0
2006,OnePlus 8,oneplus 8 er processor khrap,0,0.0
1283,Redmi 9,Redmi 9 valo ase,1,0.0
4299,Mate 9,Call mate 9330293992,1,1.0
4193,Mi Note,xiaomi redmi note 9 4/64 price moto ? ? ? Used,1,0.0
1325,Realme 5i,realme 5i er oparating system konta,1,0.0
3992,10 Plus,Ami nokia 10 plus neta chai,1,1.0
824,Redmi 9 Power,Xaiomi redmi 9 power,1,1.0
2454,iPhone XS,iphone xs er price kmn ?,1,1.0
649,Poco x3,poco x3 official ta koi pawa jabe?,1,0.0
2085,Poco x3,phone kinbo poco x3 kinbo,1,1.0
83,Pixel 4,gpu konta use krse Pixel 4 e,1,0.0
1989,Realme 8,realme 8 nen cheap price e best phone,1,0.0
3407,POCO X3,"poco x3 à¦à¦° à¦¡à¦¿à¦¸à¦ªà§à¦²à§‡ à¦ à¦¿à¦• à¦†à¦›à§‡ à¦¶à§à¦§à§ à¦Ÿà¦¾à¦š à¦¨à¦·à§à¦Ÿ à¦¹à¦‡à¦¸à§‡ , à¦ à¦¿à¦• à¦•à¦°à¦¾à¦¤à§‡ à¦•à¦¤ à¦–à¦°à¦š à¦ªà¦°à¦¬à§‡ ?",1,0.0
108,Poco x3,valo ram er phone chaile poco x3 nen,1,0.0
3391,Realme 8,vai ektu por por restart dea lage baler phone realme 8,0,0.0
4339,iPhone 11,"Why we pick you when others giving iphone 11 usa axon 64,500 taka watch 100 % authentic find inactive ?",1,1.0
505,Galaxy A52,galaxy a52 er unboxing dekhan,1,0.0
1658,Pixel 4,Pixel 4 Supports 4G/3G/2G,1,1.0
1611,Realme 8,valo touch paisi realme 8 use kore,1,0.0
5200,Realme 8,"realme 8 die pubg, cod sob khelte parben",1,1.0
1417,iPhone 12,they are noisy and poor in detail pic at night in iphone 12,0,1.0
2217,POCO X3,poco x3 wrost,0,0.0
